Part no,Part Dic.,Part Family,Casting P/N,Casting Source,Casting Procress,Plant,SupplierNum,Supplier Name Short,Comodity,RM Grade,Weight,Conversion factor  (number of parts),System Weight (Kg),Purchasing group,UID
241516456108,PUMP HOUSING,In-Line Pump Housing,2415156111,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,763.2,100,7.632,RD,24151645610897007086
241517456129,PUMP HOUSING,In-Line Pump Housing,2415156180,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,763.2,100,7.632,RD,24151745612997007086
241514456689,PUMP HOUSING,In-Line Pump Housing,2415156758,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,785,100,7.85,RD,24151445668997007086
241517256690,PUMP HOUSING,In-Line Pump Housing,2415156758,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,785,100,7.85,RD,24151725669097007086
241516956747,PUMP HOUSING,In-Line Pump Housing,2415156700,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,752.6,100,7.526,RD,24151695674797007086
241515356840,PUMP HOUSING,In-Line Pump Housing,2415156758,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,785,100,7.85,RD,24151535684097007086
241511156843,PUMP HOUSING,In-Line Pump Housing,2415156822,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,726.6,100,7.266,RD,24151115684397007086
241512356946,PUMP HOUSING,In-Line Pump Housing,2415156114,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,680.3,100,6.803,RD,24151235694697007086
241519256950,PUMP HOUSING,In-Line Pump Housing,2415156822,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,726.6,100,7.266,RD,24151925695097007086
241516156987,PUMP HOUSING,In-Line Pump Housing,2415156822,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,726.6,100,7.266,RD,24151615698797007086
241519658079,PUMP HOUSING,In-Line Pump Housing,2415158079,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,726.6,100,7.266,RD,24151965807997007086
241519358086,PUMP HOUSING,In-Line Pump Housing,2415158081,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,925,100,9.25,RD,24151935808697007086
940102583574,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010258357497007086
940106983579,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010698357997007086
940106283581,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010628358197007086
940106983582,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010698358297007086
940106083583,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,94010608358397007086
940105983584,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,94010598358497007086
940107783609,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,94010778360997007086
940101983610,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,94010198361097007086
940108483611,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,94010848361197007086
940103183636,PUMP HOUSING,In-Line Pump Housing,1415123722,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,94010318363697007086
940109683638,PUMP HOUSING,In-Line Pump Housing,1415123722,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,94010968363897007086
940107283648,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010728364897007086
940103083770,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94010308377097007086
940105087578,PUMP HOUSING,In-Line Pump Housing,2415156114,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,680.3,100,6.803,RD,94010508757897007086
941124070021,PUMP HOUSING,In-Line Pump Housing,,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,250,100,2.5,RD,94112407002197007086
941208135206,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94120813520697007086
941204535208,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94120453520897007086
941206335211,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,94120633521197007086
941209335254,PUMP HOUSING,In-Line Pump Housing,9413035250,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,275.6,100,2.756,RD,94120933525497007086
941203435268,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94120343526897007086
941201135282,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94120113528297007086
941201935286,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94120193528697007086
941309435205,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,94130943520597007086
941309135207,PUMP HOUSING,In-Line Pump Housing,9413035295,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,358.3,100,3.583,RD,94130913520797007086
941309235213,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,94130923521397007086
941302735214,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,94130273521497007086
941304235216,PUMP HOUSING,In-Line Pump Housing,1415123722,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,94130423521697007086
941301635222,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,94130163522297007086
941303335223,PUMP HOUSING,In-Line Pump Housing,F002A16701,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.8,100,2.658,RD,94130333522397007086
941306935225,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,94130693522597007086
941308335230,PUMP HOUSING,In-Line Pump Housing,1415123722,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,94130833523097007086
941301135233,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,94130113523397007086
941303435234,PUMP HOUSING,In-Line Pump Housing,F002A11008,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.8,100,2.658,RD,94130343523497007086
941303535239,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,94130353523997007086
941303035240,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,94130303524097007086
941303035242,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,94130303524297007086
941305135248,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,94130513524897007086
941303235256,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,94130323525697007086
941308835283,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,94130883528397007086
941303335284,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,94130333528497007086
941301135288,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,94130113528897007086
941309635289,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,94130963528997007086
941305335293,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94130533529397007086
941308235294,PUMP HOUSING,In-Line Pump Housing,9413035295,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,358.3,100,3.583,RD,94130823529497007086
941303435298,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,94130343529897007086
941303435302,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,94130343530297007086
941303235306,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,94130323530697007086
941309035307,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,94130903530797007086
941301835309,PUMP HOUSING,In-Line Pump Housing,1415126176,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,360,100,3.6,RD,94130183530997007086
968101635111,PUMP HOUSING,In-Line Pump Housing,9413035249,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,364.6,100,3.646,RD,96810163511197007086
F00049601354,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,F0004960135497007086
F002A1810500,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,F002A181050097007086
F002A3710501,PUMP HOUSING,In-Line Pump Housing,1415123523,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,232.7,100,2.327,RD,F002A371050197007086
F002A8410504,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A841050497007086
F002A7910522,PUMP HOUSING,In-Line Pump Housing,1415126761,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,390.9,100,3.909,RD,F002A791052297007086
F002A2110523,PUMP HOUSING,In-Line Pump Housing,,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,F002A211052397007086
F002A5510524,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A551052497007086
F002A6210525,PUMP HOUSING,In-Line Pump Housing,1415124751,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,270.9,100,2.709,RD,F002A621052597007086
F002A2410529,PUMP HOUSING,In-Line Pump Housing,F002A11012,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,391.6,100,3.916,RD,F002A241052997007086
F002A7110531,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,F002A711053197007086
F002A4110533,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A411053397007086
F002A4510535,PUMP HOUSING,In-Line Pump Housing,1415123722,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,F002A451053597007086
F002A6510536,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,F002A651053697007086
F002A1410537,PUMP HOUSING,In-Line Pump Housing,9413035241,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,282.2,100,2.822,RD,F002A141053797007086
F002A7110539,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,F002A711053997007086
F002A9310540,PUMP HOUSING,In-Line Pump Housing,F002A11008,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.8,100,2.658,RD,F002A931054097007086
F002A6310541,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A631054197007086
F002A6310544,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A631054497007086
F002A9810545,PUMP HOUSING,In-Line Pump Housing,9413035295,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,358.3,100,3.583,RD,F002A981054597007086
F002A2610548,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,F002A261054897007086
F002A1810549,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A181054997007086
F002A6810550,PUMP HOUSING,In-Line Pump Housing,F002A11018,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,262.9,100,2.629,RD,F002A681055097007086
F002A1310554,PUMP HOUSING,In-Line Pump Housing,1415126539,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,F002A131055497007086
F002A8810560,PUMP HOUSING,In-Line Pump Housing,F002A11008,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.8,100,2.658,RD,F002A881056097007086
F002A7910565,PUMP HOUSING,In-Line Pump Housing,1415124533,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,266.3,100,2.663,RD,F002A791056597007086
F002A3210566,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A321056697007086
F002A3210567,PUMP HOUSING,In-Line Pump Housing,F002A11040,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,360,100,3.6,RD,F002A321056797007086
F002A4910568,PUMP HOUSING,In-Line Pump Housing,9413035241,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,282.2,100,2.822,RD,F002A491056897007086
F002A3910572,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A391057297007086
F002A9010573,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A901057397007086
F002A3210581,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A321058197007086
F002A1110582,PUMP HOUSING,In-Line Pump Housing,1415126176,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,360,100,3.6,RD,F002A111058297007086
F002A6310583,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,F002A631058397007086
F002A2810584,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A281058497007086
F002A9410585,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A941058597007086
F002A9210587,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A921058797007086
F002A6010588,PUMP HOUSING,In-Line Pump Housing,9413035204,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,319.7,100,3.197,RD,F002A601058897007086
F002A6410589,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,F002A641058997007086
F002A4110591,PUMP HOUSING,In-Line Pump Housing,F002A11069,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,F002A411059197007086
F002A8510593,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,F002A851059397007086
F002A8610594,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A861059497007086
F002A4510597,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,F002A451059797007086
F002A5410598,PUMP HOUSING,In-Line Pump Housing,9412035294,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,252.1,100,2.521,RD,F002A541059897007086
F002A7110802,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A711080297007086
F002A2210804,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A221080497007086
F002A9910805,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A991080597007086
F002A4810806,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A481080697007086
F002A4610808,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,F002A461080897007086
F002A1210809,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A121080997007086
F002A6510810,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,F002A651081097007086
F002A6310812,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A631081297007086
F002A1810813,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A181081397007086
F002A3910814,PUMP HOUSING,In-Line Pump Housing,F002A11012,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,391.6,100,3.916,RD,F002A391081497007086
F002A2010817,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,F002A201081797007086
F002A8610819,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A861081997007086
F002A1010821,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,F002A101082197007086
F002A6210823,PUMP HOUSING,In-Line Pump Housing,F002A11069,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,F002A621082397007086
F002A8210824,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A821082497007086
F002A4110825,PUMP HOUSING,In-Line Pump Housing,9413035295,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,358.3,100,3.583,RD,F002A411082597007086
F002A4310827,PUMP HOUSING,In-Line Pump Housing,1415123523,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,232.7,100,2.327,RD,F002A431082797007086
F002A9610828,PUMP HOUSING,In-Line Pump Housing,F002A11017,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,386.6,100,3.866,RD,F002A961082897007086
F002A4410829,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A441082997007086
F002A1310832,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,F002A131083297007086
F002A1910834,PUMP HOUSING,In-Line Pump Housing,9413035282,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,287.9,100,2.879,RD,F002A191083497007086
F002A5310836,PUMP HOUSING,In-Line Pump Housing,9413035267,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,265.3,100,2.653,RD,F002A531083697007086
F002A5310837,PUMP HOUSING,In-Line Pump Housing,F002A11016,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,393.7,100,3.937,RD,F002A531083797007086
F002A4510838,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A451083897007086
F002A4110839,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A411083997007086
F002A3410840,PUMP HOUSING,In-Line Pump Housing,F002A11059,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,161.9,100,1.619,RD,F002A341084097007086
F002A9010841,PUMP HOUSING,In-Line Pump Housing,F002A11014,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,225.5,100,2.255,RD,F002A901084197007086
F002A2810842,PUMP HOUSING,In-Line Pump Housing,F002A11069,AMA,GDC,65B0,97007086,AM&ACP,Non-Ferrous,Al5K1,229.2,100,2.292,RD,F002A281084297007086
